gene:plasmid:10501,PLASMID
gene:plasmid:10533,PLASMID
gene:plasmid:10543,PLASMID
gene:plasmid:10565,AMR
gene:plasmid:10566,AMR
gene:plasmid:10570,AMR
gene:plasmid:10636,PLASMID
gene:plasmid:10797,PLASMID
gene:plasmid:109133,PLASMID
gene:plasmid:109146,PLASMID
gene:plasmid:109147,PLASMID
gene:plasmid:109210,IS
gene:plasmid:109211,IS
gene:plasmid:109289,TE
gene:plasmid:109300,PLASMID
gene:plasmid:109301,PLASMID
gene:plasmid:109415,PLASMID
gene:plasmid:109458,TE
gene:plasmid:109675,PLASMID
gene:plasmid:109684,PLASMID
gene:plasmid:109713,PLASMID
gene:plasmid:109732,PLASMID
gene:plasmid:109775,PLASMID
gene:plasmid:109793,PLASMID
gene:plasmid:109803,PLASMID
gene:plasmid:109811,PLASMID
gene:plasmid:109827,PLASMID
gene:plasmid:109833,PLASMID
gene:plasmid:109852,IS
gene:plasmid:109898,AMR
gene:plasmid:109910,PLASMID
gene:plasmid:109921,PLASMID
gene:plasmid:110033,PLASMID
gene:plasmid:110063,PLASMID
gene:plasmid:110064,PLASMID
gene:plasmid:110159,PLASMID
gene:plasmid:11029,PLASMID
gene:plasmid:110360,IS
gene:plasmid:110362,PLASMID
gene:plasmid:110369,PLASMID
gene:plasmid:110374,PLASMID
gene:plasmid:110376,PLASMID
gene:plasmid:110382,IS
gene:plasmid:110384,PLASMID
gene:plasmid:110388,TE
gene:plasmid:110391,PLASMID
gene:plasmid:110396,PLASMID
gene:plasmid:110399,PLASMID
gene:plasmid:110400,PLASMID
gene:plasmid:110401,PLASMID
gene:plasmid:110402,PLASMID
gene:plasmid:110411,PLASMID
gene:plasmid:110412,PLASMID
gene:plasmid:110414,PLASMID
gene:plasmid:11042,PROPHAGE
gene:plasmid:110437,PLASMID
gene:plasmid:110439,PLASMID
gene:plasmid:110440,PLASMID
gene:plasmid:110442,PLASMID
gene:plasmid:110453,PLASMID
gene:plasmid:110461,AMR
gene:plasmid:110474,PLASMID
gene:plasmid:11060,PLASMID
gene:plasmid:110806,TE
gene:plasmid:110808,TE
gene:plasmid:110829,AMR
gene:plasmid:110830,AMR
gene:plasmid:110837,PLASMID
gene:plasmid:110838,PLASMID
gene:plasmid:110839,AMR
gene:plasmid:110844,AMR
gene:plasmid:110847,PLASMID
gene:plasmid:110857,AMR
gene:plasmid:110860,AMR
gene:plasmid:110865,PLASMID
gene:plasmid:110875,PLASMID
gene:plasmid:110884,AMR
gene:plasmid:110903,PLASMID
gene:plasmid:110906,PLASMID
gene:plasmid:110920,AMR
gene:plasmid:110931,AMR
gene:plasmid:110934,PLASMID
gene:plasmid:110937,PLASMID
gene:plasmid:110973,PLASMID
gene:plasmid:110978,PLASMID
gene:plasmid:110980,PLASMID
gene:plasmid:110989,PLASMID
gene:plasmid:111003,PLASMID
gene:plasmid:111004,PLASMID
gene:plasmid:11109,PLASMID
gene:plasmid:111094,PLASMID
gene:plasmid:111119,PLASMID
gene:plasmid:111121,PLASMID
gene:plasmid:111129,PLASMID
gene:plasmid:111140,PLASMID
gene:plasmid:111170,PLASMID
gene:plasmid:111191,PLASMID
gene:plasmid:111195,PLASMID
gene:plasmid:111216,PLASMID
gene:plasmid:111229,PLASMID
gene:plasmid:111230,PLASMID
gene:plasmid:111236,PLASMID
gene:plasmid:111278,PLASMID
gene:plasmid:111327,PLASMID
gene:plasmid:111332,PLASMID
gene:plasmid:111382,PLASMID
gene:plasmid:111463,PLASMID
gene:plasmid:111464,PLASMID
gene:plasmid:11149,PLASMID
gene:plasmid:111538,PLASMID
gene:plasmid:111542,PLASMID
gene:plasmid:111582,IS
gene:plasmid:111583,PLASMID
gene:plasmid:111631,PLASMID
gene:plasmid:111637,PLASMID
gene:plasmid:111655,PLASMID
gene:plasmid:111677,PLASMID
gene:plasmid:111678,PLASMID
gene:plasmid:111690,PLASMID
gene:plasmid:111701,PLASMID
gene:plasmid:111702,PLASMID
gene:plasmid:111703,PLASMID
gene:plasmid:111704,PLASMID
gene:plasmid:111705,PLASMID
gene:plasmid:111723,PLASMID
gene:plasmid:111805,PLASMID
gene:plasmid:111865,PLASMID
gene:plasmid:111866,PLASMID
gene:plasmid:111867,PLASMID
gene:plasmid:111890,PLASMID
gene:plasmid:111908,PLASMID
gene:plasmid:111952,PLASMID
gene:plasmid:111972,PLASMID
gene:plasmid:112012,PLASMID
gene:plasmid:112077,PLASMID
gene:plasmid:112079,PLASMID
gene:plasmid:112081,PLASMID
gene:plasmid:112088,PLASMID
gene:plasmid:112102,PLASMID
gene:plasmid:112163,PLASMID
gene:plasmid:112169,PLASMID
gene:plasmid:112204,PLASMID
gene:plasmid:112231,PLASMID
gene:plasmid:112232,PLASMID
gene:plasmid:112410,PLASMID
gene:plasmid:112437,PLASMID
gene:plasmid:112495,PLASMID
gene:plasmid:112496,PLASMID
gene:plasmid:112497,PLASMID
gene:plasmid:112498,PLASMID
gene:plasmid:112503,PLASMID
gene:plasmid:112504,PLASMID
gene:plasmid:112528,TE
gene:plasmid:112535,TE
gene:plasmid:112536,TE
gene:plasmid:112568,PLASMID
gene:plasmid:112571,AMR
